"","station_name","date","receiver","description","data","rcv_serial_no","deploy_date","recover_date","dep_lat","dep_long","the_geom","catalognumber"
"86","V2LSCF-N1",2015-06-01,"VR2AR-545784","Minimum temperature",0.1,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"87","V2LSCF-N1",2015-06-01,"VR2AR-545784","Temperature",0.1,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"88","V2LSCF-N1",2015-06-01,"VR2AR-545784","Maximum temperature",0.1,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"89","V2LSCF-N1",2015-06-02,"VR2AR-545784","Minimum temperature",0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"90","V2LSCF-N1",2015-06-02,"VR2AR-545784","Average temperature",0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"91","V2LSCF-N1",2015-06-02,"VR2AR-545784","Maximum temperature",0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"92","V2LSCF-N1",2015-06-02,"VR2AR-545784","Temperature",0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"93","V2LSCF-N1",2015-06-03,"VR2AR-545784","Average temperature",0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"94","V2LSCF-N1",2015-06-03,"VR2AR-545784","Maximum temperature",0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"95","V2LSCF-N1",2015-06-03,"VR2AR-545784","Minimum temperature",0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"96","V2LSCF-N1",2015-06-03,"VR2AR-545784","Temperature",0.4,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"97","V2LSCF-N1",2015-06-04,"VR2AR-545784","Maximum temperature",0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"98","V2LSCF-N1",2015-06-04,"VR2AR-545784","Temperature",0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"99","V2LSCF-N1",2015-06-04,"VR2AR-545784","Average temperature",0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"100","V2LSCF-N1",2015-06-04,"VR2AR-545784","Minimum temperature",0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
