"","station","num_fish","num_dets","first_det","last_det","mean_lat","mean_lon","animals"
"25","2021_025",1,7,2023-10-10 05:08:39,2023-10-10 06:14:12,45.99829,-59.01779,"SABMPA-MPA-SAB-23-HIP-05-2023-10-06"
"26","2021_026",2,17,2023-10-10 06:34:19,2024-03-09 11:29:31,46.00333,-59.00666,"SABMPA-1283889-2022-11-01 SABMPA-MPA-SAB-23-HIP-05-2023-10-06"
"27","2021_027",3,25,2023-10-10 07:26:51,2024-04-21 13:51:04,46.00848,-58.99497,"SABMPA-1283877-2022-11-01 SABMPA-1283924-2022-12-05 SABMPA-MPA-SAB-23-HIP-05-2023-10-06"
"28","2021_028",1,10,2023-04-13 05:25:42,2023-04-13 08:42:13,46.01304,-58.98382,"SABMPA-1283889-2022-11-01"
"29","2021_029",3,29,2023-04-12 22:29:48,2024-01-05 10:42:32,46.0180186206896,-58.9729524137931,"SABMPA-1283924-2022-12-05 SABMPA-1283925-2022-12-05 SABMPA-MPA-SAB-23-HIP-05-2023-10-06"
"30","2021_030",1,28,2023-11-01 01:35:14,2024-04-20 11:54:21,46.02308,-58.9613,"SABMPA-1283924-2022-12-05"
"31","2021_032",3,140,2022-12-31 09:03:13,2024-02-13 12:52:51,46.0332264285715,-58.9397457142858,"SABMPA-1283886-2022-11-01 SABMPA-1283900-2022-11-01 SABMPA-1283924-2022-12-05"
"32","2021_034",3,303,2023-12-06 16:31:57,2024-07-08 11:18:10,46.0430799999999,-58.9177899999998,"SABMPA-1283892-2022-11-01 SABMPA-1283904-2022-11-01 SABMPA-1283924-2022-12-05"
"33","2021_035",4,152,2024-01-11 10:38:38,2024-07-08 13:18:41,46.0481499999999,-58.9058800000001,"SABMPA-1283893-2022-11-01 SABMPA-1283904-2022-11-01 SABMPA-1283924-2022-12-05 SABMPA-1283925-2022-12-05"
"34","2021_036",2,59,2023-12-17 07:42:03,2024-04-11 08:43:45,46.05326,-58.89486,"SABMPA-1283904-2022-11-01 SABMPA-MPA-SAB-23-HIP-04-2023-10-05"
"35","2021_037",3,9,2024-03-15 15:08:09,2024-07-08 14:28:10,46.05793,-58.88394,"SABMPA-1283904-2022-11-01 SABMPA-1283924-2022-12-05 SABMPA-1283925-2022-12-05"
"36","2021_038",2,15,2024-03-15 14:31:28,2024-04-17 07:18:36,46.0632,-58.87262,"SABMPA-1283925-2022-12-05 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"37","2021_039",2,240,2023-01-10 05:32:38,2024-04-17 06:03:05,46.0680164583335,-58.8621162499998,"SABMPA-1283897-2022-11-01 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"38","2021_040",2,560,2023-01-10 07:29:09,2024-01-27 17:33:36,46.072744053571,-58.8506054642864,"SABMPA-1283897-2022-11-01 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"39","2021_041",2,13,2023-01-10 08:37:12,2024-01-27 18:27:29,46.0771569230769,-58.8402769230769,"SABMPA-1283897-2022-11-01 SABMPA-MPA-SAB-23-HIP-06-2023-10-06"
"40","2021_043",3,1021,2022-12-08 17:42:41,2024-07-12 07:48:09,46.0870000783553,-58.8178918609208,"SABMPA-1283893-2022-11-01 SABMPA-1283904-2022-11-01 SABMPA-1283924-2022-12-05"
"41","2021_044",2,134,2023-12-07 19:23:44,2024-04-18 19:47:07,46.0915599999999,-58.8068599999999,"SABMPA-1283900-2022-11-01 SABMPA-MPA-SAB-23-HIP-01-2023-10-05"
