"Kingdom","Phylum","Class","Order","Family","Genus","Species","aphiaID","species_filter","common"
"Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides armatus",158952,158952,"Abyssal grenadier"
"Animalia","Chordata","Teleostei","Perciformes","Psychrolutidae","Cottunculus","Cottunculus thomsonii",127237,127237,"Pallid sculpin"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus laevis",158548,158548,"Barndoor skate"
"Animalia","Chordata","Teleostei","Perciformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus",127217,127217,"Atlantic spiny lumpsucker"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus",127136,127136,"Flet"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Gymnelus","Gymnelus viridis",127096,127096,"Fish doctor"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus",127138,127138,"Atlantic halibut"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris",137101,137101,"White-beaked bottlenose"
"Animalia","Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis fabricii",127218,127218,"Gelatinous seasnail"
"Animalia","Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis gibbus",159526,159526,"Dusky snaifish"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes terraenovae",127117,127117,"Atlantic eelpout"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii",127118,127118,"Checher eelpout"
"Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Nezumia","Nezumia bairdii",183289,183289,"Marlin-spike"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Physeteridae","Physeter","Physeter catodon",137118,137118,"Cachalote común"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys stellatus",154781,154781,"Starry flounder"
"Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes mentella",127254,127254,"Beaked redfish"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Stenella","Stenella longirostris",137109,137109,"Central American spinner"
"Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus kaupii",126328,126328,"Kaup's arrowtooth eel"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus","Thunnus obesus",127028,127028,"Bigeye tuna"
"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitrite","Amphitrite cirrata",131474,131474,"オバナフサゴカイ"
"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Artacama","Artacama proboscidea",131482,131482,NA
"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita",135306,135306,"Common jellyfish"
"Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus finmarchicus",104464,104464,NA
"Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus glacialis",104465,104465,NA
"Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus marshallae",196770,196770,NA
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Catablema","Catablema vesicarium",117784,117784,"Constricted jellyfish"
"Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Centropages hamatus",104496,104496,NA
"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Chlamys","Chlamys islandica",140692,140692,"Iceland scallop"
"Animalia","Annelida","Polychaeta",NA,"Maldanidae","Clymenella","Clymenella zonalis",157320,157320,"Bambooworm"
"Animalia","Mollusca","Gastropoda","Nudibranchia","Coryphellidae","Coryphella","Coryphella orjani",1572566,1572566,NA
"Animalia","Porifera","Demospongiae","Poecilosclerida","Crellidae","Crella","Crella elegans",133464,133464,NA
"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Dendrobeania","Dendrobeania murrayana",111174,111174,NA
"Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Dorvillea","Dorvillea kastjani",130006,130006,NA
"Animalia","Echinodermata","Echinoidea","Echinolampadacea","Echinarachniidae","Echinarachnius","Echinarachnius parma",158062,158062,"Common sand dollar"
"Animalia","Porifera","Demospongiae","Poecilosclerida","Myxillidae","Ectyonopsis","Ectyonopsis pluridentata",169398,169398,NA
"Animalia","Arthropoda","Branchiopoda","Onychopoda","Podonidae","Evadne","Evadne nordmanni",106273,106273,"Ewadna"
"Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus","Gorgonocephalus arcticus",124966,124966,"Northern basket star"
"Animalia","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria panicea",132627,132627,"Breadcrumb horny sponge"
"Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Halocynthia","Halocynthia pyriformis",103828,103828,"Sea peach"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Lafoeidae","Lafoea","Lafoea dumosa",117702,117702,"キセルガヤ"
"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Lanassa","Lanassa venusta",131494,131494,NA
"Animalia","Mollusca","Gastropoda","Cephalaspidea","Laonidae","Laona","Laona quadrata",882941,882941,NA
"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias","Leptasterias littoralis",158493,158493,NA
"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias","Leptasterias polaris",292974,292974,NA
"Plantae",NA,"Florideophyceae","Hapalidiales","Hapalidiaceae","Lithothamnion","Lithothamnion glaciale",145170,145170,"Maerl"
"Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Lysippe","Lysippe labiata",129800,129800,"ヒダベリカザリゴカイ"
"Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Macoma","Macoma calcarea",141580,141580,"Chalky macoma"
"Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes","Meganyctiphanes norvegica",110690,110690,"Nordic krill"
"Animalia","Annelida","Polychaeta","Terebellida","Melinnidae","Melinna","Melinna heterodonta",333996,333996,NA
"Animalia","Arthropoda","Copepoda","Calanoida","Metridinidae","Metridia","Metridia lucens",104633,104633,NA
