species,year,type
  Scoloplos armiger                 ,2023,invertebrate
  Scomber scombrus                  ,2023,invertebrate
  Solaster endeca                   ,2023,invertebrate
  Strongylocentrotus droebachiensis ,2023,invertebrate
  Strongylocentrotus pallidus       ,2023,invertebrate
  Suberites ficus                   ,2023,invertebrate
  Synchaeta triophthalma            ,2023,invertebrate
  Synchaeta vorax                   ,2023,invertebrate
  Temora longicornis                ,2023,invertebrate
  Terebellides stroemii CMC04       ,2023,invertebrate
  Thelepus cincinnatus              ,2023,invertebrate
  Tortanus discaudatus  ,2023,invertebrate
 Aetideus armatus                 ,2024,invertebrate
 Amphitrite cirrata               ,2024,invertebrate
 Asterocheres lilljeborgi         ,2024,invertebrate
 Aurelia aurita                   ,2024,invertebrate
 Calanus finmarchicus             ,2024,invertebrate
 Centropages hamatus              ,2024,invertebrate
 Chaetozone setosa                ,2024,invertebrate
 Chlamys islandica                ,2024,invertebrate
 Clausocalanus lividus            ,2024,invertebrate
 Clymenella zonalis               ,2024,invertebrate
 Crella elegans                   ,2024,invertebrate
 Dendrobeania murrayana           ,2024,invertebrate
 Dorvillea kastjani               ,2024,invertebrate
 Doto coronata                    ,2024,invertebrate
 Echinarachnius parma             ,2024,invertebrate
 Ectyonopsis pluridentata         ,2024,invertebrate
 Evadne nordmanni                 ,2024,invertebrate
 Glycera capitata                 ,2024,invertebrate
 Gorgonocephalus arcticus         ,2024,invertebrate
 Halichondria panicea             ,2024,invertebrate
 Halocynthia pyriformis           ,2024,invertebrate
 Kurtiella bidentata              ,2024,invertebrate
 Lanassa venusta                  ,2024,invertebrate
 Laonice cirrata                  ,2024,invertebrate
 Leptasterias littoralis          ,2024,invertebrate
 Leptasterias polaris             ,2024,invertebrate
 Lithothamnion glaciale           ,2024,invertebrate
 Lizzia blondina                  ,2024,invertebrate
 Lysippe labiata                  ,2024,invertebrate
 Meganyctiphanes norvegica        ,2024,invertebrate
 Melinna heterodonta              ,2024,invertebrate
 Merluccius bilinearis            ,2024,invertebrate
 Metridia lucens                  ,2024,invertebrate
 Micromonas pusilla               ,2024,invertebrate
 Molpadia intermedia              ,2024,invertebrate
 Nicomache minor                  ,2024,invertebrate
 Nothria conchylega CMC02         ,2024,invertebrate
 Obelia geniculata                ,2024,invertebrate
 Oithona similis                  ,2024,invertebrate
 Ophelina acuminata CMC01         ,2024,invertebrate
 Ophiopholis aculeata             ,2024,invertebrate
 Ophiura robusta                  ,2024,invertebrate
 Ophiura sarsii                   ,2024,invertebrate
 Pantachogon haeckeli             ,2024,invertebrate
 Paraeuchaeta norvegica           ,2024,invertebrate
 Phacellophora camtschatica       ,2024,invertebrate
 Pholoe pallida                   ,2024,invertebrate
 Phyllodoce groenlandica CMC01    ,2024,invertebrate
 Pista maculata                   ,2024,invertebrate
 Polyphysia crassa                ,2024,invertebrate
 Primnoa pacifica                 ,2024,invertebrate
 Proclea malmgreni                ,2024,invertebrate
 Pseudocalanus acuspes            ,2024,invertebrate
 Pseudocalanus minutus            ,2024,invertebrate
 Pseudocalanus newmani            ,2024,invertebrate
 Pseudopotamilla reniformis       ,2024,invertebrate
 Psolus phantapus                 ,2024,invertebrate
 Pteraster militaris              ,2024,invertebrate
 Scalibregma inflatum CMC03       ,2024,invertebrate
 Scoloplos acutus                 ,2024,invertebrate
 Scomber scombrus                 ,2024,invertebrate
 Solanometra antarctica           ,2024,invertebrate
 Solaster endeca                  ,2024,invertebrate
 Sternaspis scutata               ,2024,invertebrate
 Strongylocentrotus droebachiensis,2024,invertebrate
 Strongylocentrotus pallidus      ,2024,invertebrate
 Synchaeta triophthalma           ,2024,invertebrate
 Synchaeta vorax                  ,2024,invertebrate
 Temora longicornis               ,2024,invertebrate
 Terebellides stroemii CMC01      ,2024,invertebrate
 Terebellides stroemii CMC04      ,2024,invertebrate
 Terebellides williamsae          ,2024,invertebrate
 Thelepus cincinnatus             ,2024,invertebrate
