"X","OTN_ARRAY","OTN_ARRAY_2","OTN_ARRAY_3","STATION_NO","STATION_NO2","DEPLOY_DATE_TIME_UTC","BOTTOM_DEPTH","INS_MODEL_NO","RECEIVER_SN","RECEIVER_TAG_ID","RECOVERED","RECOVER_DATE_TIME_UTC","YEAR_DEPLOYED","Assigned_c","X.1","depth"
161,"SABMPA","SAB_OLD","SAB_SOUTH","S12","S12","2015-05-11T00:00:00",NA,"VR2AR",545776,"A69-1601-60240","Y","2016-04-17T12:47:00",2015,"A - Mud"," 46.02183)",150.8
162,"SABMPA","SAB_OLD","SAB_SOUTH","S13","S13","2015-05-11T00:00:00",NA,"VR2AR",545773,"A69-1601-60237","Y","2016-04-17T13:02:00",2015,"A - Mud"," 46.02183)",147.9
163,"SABMPA","SAB_OLD","SAB_SOUTH","S2","S2","2015-05-11T00:00:00",NA,"VR2AR",545770,"A69-1601-60234","Y","2016-04-17T10:52:00",2015,"A - Mud"," 46.02183)",117.5
164,"SABMPA","SAB_OLD","SAB_SOUTH","S3","S3","2015-05-11T00:00:00",NA,"VR2AR",545781,"A69-1601-60245","Y","2016-04-17T11:05:00",2015,"A - Mud"," 46.02183)",119.2
165,"SABMPA","SAB_OLD","SAB_SOUTH","S4","S4","2015-05-11T00:00:00",NA,"VR2AR",545762,"A69-1601-60226","Y","2016-04-17T11:10:00",2015,"A - Mud"," 46.02183)",120.1
166,"SABMPA","SAB_OLD","SAB_SOUTH","S5","S5","2015-05-11T00:00:00",NA,"VR2AR",545761,"A69-1601-60225","Y","2016-04-17T11:15:00",2015,"A - Mud"," 46.02183)",137.2
167,"SABMPA","SAB_OLD","SAB_SOUTH","S6","S6","2015-05-11T00:00:00",NA,"VR2AR",545713,"A69-1601-60177","Y","2016-04-17T11:30:00",2015,"A - Mud"," 46.02183)",148.9
168,"SABMPA","SAB_OLD","SAB_SOUTH","S7","S7","2015-05-11T00:00:00",NA,"VR2AR",545769,"A69-1601-60233","Y","2016-04-17T11:52:00",2015,"A - Mud"," 46.02183)",148.9
169,"SABMPA","SAB_OLD","SAB_SOUTH","S8","S8","2015-05-11T00:00:00",NA,"VR2AR",545766,"A69-1601-60230","Y","2016-04-17T12:04:00",2015,"A - Mud"," 46.02183)",157.3
170,"SABMPA","SAB_OLD","SAB_SOUTH","S9","S9","2015-05-11T00:00:00",NA,"VR2AR",545771,"A69-1601-60235","Y","2016-04-17T12:15:00",2015,"A - Mud"," 46.02183)",134
