SET_SEQ,PRED_SEQ,PREY_SEQ,DATASOURCE,MISSION,SETNO,SDATE,STIME,STRAT,BOTTOM_TEMPERATURE,DEPTH,GEAR,SLATDD,SLONGDD,NAFO_ZONE,NAFO_SUBUNIT,SPEC,FSHNO,FWT,FLEN,STOWGT,EMPTYWGT,FULLNESS,FGEN,PREYSPECCD,PWT,PLEN,PNUM,RANK,DIGESTION,
8996,186874,215937,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,350,4507,25,20,0.74,0.52,2,,9000,0.22,,,,4,
8996,186867,215938,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,201,4501,80,21,3.93,2.86,3,,9000,1.07,,,,4,
8996,186876,215939,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,350,4509,29,20,0.28,0.08,4,,2000,0.2,,,,4,
8996,186860,215940,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,40,4492,96,24,0.8,0.69,1,,2600,0.11,,1,,4,
8996,186873,215941,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,350,4505,31,21,0.53,0.19,3,,9000,0.34,,,,4,
8996,186866,215942,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,201,4500,179,25,3.83,1.01,4,,2000,2.82,,,,4,
8993,186732,215943,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,10,4362,813,44,13.75,10.96,2,,2809,0.08,,1,,2,
8993,186732,215944,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,10,4362,813,44,13.75,10.96,2,,2600,2.35,,6,,1,
8993,186732,215945,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,10,4362,813,44,13.75,10.96,2,,2000,0.36,,,,4,
8993,186773,215946,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4408,103,26,1.06,0.55,3,,7000,0.01,,1,,1,
8993,186773,215947,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4408,103,26,1.06,0.55,3,,9200,0.5,,,,1,
8993,186793,215948,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,202,4360,352,42,9.92,6.22,2,,2811,0.53,,1,,1,
8993,186793,215949,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,202,4360,352,42,9.92,6.22,2,,2600,3.17,,4,,2,
8993,186764,215950,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,40,4384,32,17,0.24,0.15,3,,9200,0.09,,,,1,
8993,186761,215951,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,40,4381,34,18,0.27,0.23,1,,3138,0.04,,,,1,
8993,186765,215952,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,40,4385,83,22,0.18,0.06,4,,3199,0.12,,,,1,
8993,186748,215953,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,23,4401,306,27,4.94,1.63,4,,2600,3.31,,13,,1,
8993,186759,215954,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,40,4378,79,23,0.74,0.63,1,,9200,0.11,,,,1,
8993,186738,215955,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,23,4390,199,22,11.25,1.37,4,,2600,9.88,,25,,1,
8985,186395,215956,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,12,4030,477,40,12.86,9.56,2,,2507,3.03,,,,3,
8985,186400,215957,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4032,240,34,2,1.33,2,,3199,0.67,,,,1,
8985,186403,215958,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4035,218,34,1.23,1.01,1,,3138,0.22,,1,,1,
8985,186396,215959,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,14,4018,41,19,0.46,0.44,1,,9000,0.02,,,,4,
8985,186417,215960,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4049,55,22,0.45,0.32,1,,9200,0.13,,,,1,
8985,186410,215961,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4042,89,25,0.64,0.54,1,,9200,0.1,,,,1,
8985,186415,215962,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4047,66,23,0.72,0.58,1,,9200,0.14,,,,1,
8985,186405,215963,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4037,135,28,0.77,0.64,1,,3138,0.13,,1,,1,
8985,186409,215964,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4041,37,19,1.04,0.92,1,,9200,0.12,,,,1,
8985,186406,215965,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4038,294,36,1.4,1.27,1,,3138,0.13,,1,,1,
8985,186407,215966,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4039,360,36,2.14,2.04,1,,9200,0.1,,,,1,
8985,186413,215967,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,41,4045,311,36,1.98,1.7,1,,3138,0.28,,1,,1,
8985,186425,215968,SCS,S10092019,5,10-Sep-19,1035,,6.11,251,15,46.35817,-59.06333,4VN,4VN,400,4031,15700,97,969.28,542.02,4,,1099,427.26,,,,4,
8986,186457,215969,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,201,4069,88,21,4.36,3.36,1,,9000,1,,,,4,
8986,186446,215970,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,41,4062,492,43,6.68,3.17,4,,9000,3.51,,,,4,
8986,186434,215971,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4072,366,35,11.64,5.71,4,,2000,5.93,,,,4,
8986,186436,215972,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4074,203,29,6.46,5.63,1,,2000,0.83,,,,4,
8986,186456,215973,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,201,4068,71,19,5.38,3.37,2,,9000,2.01,,,,4,
8993,186779,215974,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4414,142,29,1.67,0.8,3,,9000,0.87,,,,4,
8993,186770,215975,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4405,255,34,2.45,1.72,2,,9000,0.73,,,,4,
8993,186774,215976,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4409,214,33,2.13,1.24,2,,9000,0.89,,,,4,
8993,186786,215977,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4421,26,18,0.3,0.16,2,,9200,0.14,,,,1,
8993,186776,215978,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4411,275,36,2.42,1.84,1,,9200,0.58,,,,1,
8993,186785,215979,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4420,307,36,2.28,1.6,2,,9000,0.68,,,,4,
8993,186781,215980,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4416,62,22,0.73,0.65,1,,9200,0.08,,,,1,
8993,186775,215981,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4410,255,34,2.09,1.38,2,,9000,0.71,,,,4,
8993,186736,215982,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,23,4388,403,29,23.78,2.54,4,,2809,1.14,,12,,1,
8993,186736,215983,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,23,4388,403,29,23.78,2.54,4,,2600,20.1,,48,,1,
8993,186780,215984,SCS,S11092019,7,11-Sep-19,1505,,4.47,163,15,45.95933,-58.83133,4VN,4VN,41,4415,299,37,2.33,1.72,1,,4360,0.08,,2,,1,
