TRIP_ID,TRIP,BOARD_DATE,SET_NO,STATION,LATITUDE,LONGITUDE,NET_TEMPERATURE,EST_CATCH,SPECCD_ID,EST_NUM_CAUGHT,EST_DISCARD_WT
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,202,2,0.8
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,647,1,0.2
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,2212,3,0.1
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,2523,7,1.575
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,8300,1,0.2
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,8600,4,0.3
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,10,2,1.7
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,14,1,0.1
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,23,15,0.6
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,31,2,0.8
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,40,19,1.7
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,41,67,11.4
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,201,4,4
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,202,1,0.9
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,400,1,0.2
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,1821,1,0.1
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,2211,19,0.2
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,2526,20,2.05
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,2559,1,0.1
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,3100,1,0.1
100049889,S23092017,2017-09-23,6,36,45.79567,59.08333,4.079023418,0.00205,4210,6,0.2
