"Class","Family","Genus","Kingdom","Order","Phylum","Species","aphiaID","common"
"Teleostei","Cottidae","Gymnocanthus","Animalia","Perciformes","Chordata","Gymnocanthus tricuspis",127198,"Arctic staghorn sculpin"
"Teleostei","Gadidae","Melanogrammus","Animalia","Gadiformes","Chordata","Melanogrammus aeglefinus",126437,"haddock"
"Ophiuroidea","Ophiuridae","Ophiura","Animalia","Ophiurida","Echinodermata","Ophiura sarsii",124934,NA
"Anthozoa","Actiniidae","Bolocera","Animalia","Actiniaria","Cnidaria",NA,100698,NA
"Malacostraca","Pandalidae","Atlantopandalus","Animalia","Decapoda","Arthropoda","Atlantopandalus propinqvus",158351,NA
"Ascidiacea","Pyuridae","Halocynthia","Animalia","Stolidobranchia","Chordata","Halocynthia pyriformis",103828,"sea peach"
"Anthozoa","Hormathiidae","Hormathia","Animalia","Actiniaria","Cnidaria",NA,100757,NA
"Gymnolaemata","Flustridae","Flustra","Animalia","Cheilostomatida","Bryozoa","Flustra foliacea",111367,"greater hornwrack"
"Teleostei","Gadidae","Pollachius","Animalia","Gadiformes","Chordata","Pollachius virens",126441,"saithe"
"Teleostei","Zoarcidae","Lycodes","Animalia","Perciformes","Chordata","Lycodes terraenovae",127117,"Newfoundland eelpout"
"Myxini","Myxinidae","Myxine","Animalia","Myxiniformes","Chordata","Myxine limosa",271309,NA
